Position,Name,ELO,Date,Age,Year,Age_Group,ELO_Change,Era,Is_World_No1,Appearances
14,Radjabov,2757,2019 Jan,31,2019,31-35,9,Carlsen Era,No,13
11,Radjabov,2765,2020 Jan,32,2020,31-35,8,Carlsen Era,No,13
10,Radjabov,2765,2021 Jan,33,2021,31-35,0,Carlsen Era,No,13
14,Rapport,2758,2020 Jan,23,2020,17-25,0,Carlsen Era,No,2
13,Rapport,2759,2021 Jan,24,2021,17-25,1,Carlsen Era,No,2
4,Shirov,2751,2000 Jan,27,2000,26-30,0,Kasparov Era,No,11
7,Shirov,2718,2001 Jan,28,2001,26-30,-33,Kasparov Era,No,11
9,Shirov,2715,2002 Jan,29,2002,26-30,-3,Kasparov Era,No,11
9,Shirov,2723,2003 Jan,30,2003,26-30,8,Kasparov Era,No,11
5,Shirov,2736,2004 Jan,31,2004,31-35,13,Kasparov Era,No,11
10,Shirov,2713,2005 Jan,32,2005,31-35,-23,Kasparov Era,No,11
16,Shirov,2709,2006 Jan,33,2006,31-35,-4,Kasparov Era,No,11
17,Shirov,2715,2007 Jan,34,2007,31-35,6,Transition,No,11
7,Shirov,2755,2008 Jan,35,2008,31-35,40,Transition,No,11
12,Shirov,2745,2009 Jan,36,2009,36+,-10,Transition,No,11
20,Shirov,2723,2010 Jan,37,2010,36+,-22,Carlsen Era,No,11
15,Short,2683,2000 Jan,34,2000,31-35,0,Kasparov Era,No,3
17,Short,2690,2003 Jan,37,2003,36+,7,Kasparov Era,No,3
17,Short,2702,2004 Jan,38,2004,36+,12,Kasparov Era,No,3
17,Smirin,2686,2001 Jan,32,2001,31-35,0,Kasparov Era,No,2
13,Smirin,2702,2002 Jan,33,2002,31-35,16,Kasparov Era,No,2
10,So,2762,2015 Jan,21,2015,17-25,0,Carlsen Era,No,7
10,So,2773,2016 Jan,22,2016,17-25,11,Carlsen Era,No,7
4,So,2808,2017 Jan,23,2017,17-25,35,Carlsen Era,No,7
6,So,2792,2018 Jan,24,2018,17-25,-16,Carlsen Era,No,7
11,So,2765,2019 Jan,25,2019,17-25,-27,Carlsen Era,No,7
10,So,2765,2020 Jan,26,2020,26-30,0,Carlsen Era,No,7
9,So,2770,2021 Jan,27,2021,26-30,5,Carlsen Era,No,7
19,Sokolov Ivan,2688,2003 Jan,34,2003,31-35,0,Kasparov Era,No,3
16,Sokolov Ivan,2706,2004 Jan,35,2004,31-35,18,Kasparov Era,No,3
19,Sokolov Ivan,2685,2005 Jan,36,2005,36+,-21,Kasparov Era,No,3
20,Svidler,2672,2000 Jan,23,2000,17-25,0,Kasparov Era,No,20
13,Svidler,2695,2001 Jan,24,2001,17-25,23,Kasparov Era,No,20
17,Svidler,2688,2002 Jan,25,2002,17-25,-7,Kasparov Era,No,20
16,Svidler,2693,2003 Jan,26,2003,26-30,5,Kasparov Era,No,20
4,Svidler,2747,2004 Jan,27,2004,26-30,54,Kasparov Era,No,20
8,Svidler,2735,2005 Jan,28,2005,26-30,-12,Kasparov Era,No,20
4,Svidler,2765,2006 Jan,29,2006,26-30,30,Kasparov Era,No,20
12,Svidler,2728,2007 Jan,30,2007,26-30,-37,Transition,No,20
5,Svidler,2763,2008 Jan,31,2008,31-35,35,Transition,No,20
20,Svidler,2723,2009 Jan,32,2009,31-35,-40,Transition,No,20
10,Svidler,2744,2010 Jan,33,2010,31-35,21,Carlsen Era,No,20
18,Svidler,2730,2011 Jan,34,2011,31-35,-14,Carlsen Era,No,20
13,Svidler,2749,2012 Jan,35,2012,31-35,19,Carlsen Era,No,20
15,Svidler,2747,2013 Jan,36,2013,36+,-2,Carlsen Era,No,20
11,Svidler,2758,2014 Jan,37,2014,36+,11,Carlsen Era,No,20
16,Svidler,2739,2015 Jan,38,2015,36+,-19,Carlsen Era,No,20
17,Svidler,2751,2016 Jan,39,2016,36+,12,Carlsen Era,No,20
19,Svidler,2748,2017 Jan,40,2017,36+,-3,Carlsen Era,No,20
10,Svidler,2768,2018 Jan,41,2018,36+,20,Carlsen Era,No,20
20,Svidler,2737,2019 Jan,42,2019,36+,-31,Carlsen Era,No,20
15,Tomashevsky,2740,2012 Jan,24,2012,17-25,0,Carlsen Era,No,1
10,Topalov,2702,2000 Jan,24,2000,17-25,0,Kasparov Era,No,20
8,Topalov,2718,2001 Jan,25,2001,17-25,16,Kasparov Era,No,20
6,Topalov,2739,2002 Jan,26,2002,26-30,21,Kasparov Era,No,20
4,Topalov,2743,2003 Jan,27,2003,26-30,4,Kasparov Era,No,20
6,Topalov,2735,2004 Jan,28,2004,26-30,-8,Kasparov Era,No,20
3,Topalov,2757,2005 Jan,29,2005,26-30,22,Kasparov Era,No,20
2,Topalov,2801,2006 Jan,30,2006,26-30,44,Kasparov Era,No,20
1,Topalov,2783,2007 Jan,31,2007,31-35,-18,Transition,Yes,20
3,Topalov,2780,2008 Jan,32,2008,31-35,-3,Transition,No,20
1,Topalov,2796,2009 Jan,33,2009,31-35,16,Transition,Yes,20
2,Topalov,2805,2010 Jan,34,2010,31-35,9,Carlsen Era,No,20
6,Topalov,2775,2011 Jan,35,2011,31-35,-30,Carlsen Era,No,20
6,Topalov,2770,2012 Jan,36,2012,36+,-5,Carlsen Era,No,20
8,Topalov,2771,2013 Jan,37,2013,36+,1,Carlsen Era,No,20
5,Topalov,2785,2014 Jan,38,2014,36+,14,Carlsen Era,No,20
4,Topalov,2800,2015 Jan,39,2015,36+,15,Carlsen Era,No,20
9,Topalov,2780,2016 Jan,40,2016,36+,-20,Carlsen Era,No,20
18,Topalov,2749,2018 Jan,42,2018,36+,-31,Carlsen Era,No,20
17,Topalov,2740,2019 Jan,43,2019,36+,-9,Carlsen Era,No,20
20,Topalov,2738,2020 Jan,44,2020,36+,-2,Carlsen Era,No,20
18,Vachier-Lagrave,2730,2010 Jan,19,2010,17-25,0,Carlsen Era,No,9
15,Vachier-Lagrave,2745,2014 Jan,23,2014,17-25,15,Carlsen Era,No,9
13,Vachier-Lagrave,2757,2015 Jan,24,2015,17-25,12,Carlsen Era,No,9
7,Vachier-Lagrave,2785,2016 Jan,25,2016,17-25,28,Carlsen Era,No,9
5,Vachier-Lagrave,2796,2017 Jan,26,2017,26-30,11,Carlsen Era,No,9
5,Vachier-Lagrave,2793,2018 Jan,27,2018,26-30,-3,Carlsen Era,No,9
6,Vachier-Lagrave,2780,2019 Jan,28,2019,26-30,-13,Carlsen Era,No,9
7,Vachier-Lagrave,2770,2020 Jan,29,2020,26-30,-10,Carlsen Era,No,9
5,Vachier-Lagrave,2784,2021 Jan,30,2021,26-30,14,Carlsen Era,No,9
18,Vallejo Pons,2686,2005 Jan,22,2005,17-25,0,Kasparov Era,No,1
12,Van Wely,2700,2001 Jan,28,2001,26-30,0,Kasparov Era,No,2
14,Van Wely,2697,2002 Jan,29,2002,26-30,-3,Kasparov Era,No,2
18,Vitiugov,2737,2014 Jan,26,2014,26-30,0,Carlsen Era,No,3
19,Vitiugov,2735,2015 Jan,27,2015,26-30,-2,Carlsen Era,No,3
19,Vitiugov,2747,2020 Jan,32,2020,31-35,12,Carlsen Era,No,3
20,Volokitin,2685,2005 Jan,18,2005,17-25,0,Kasparov Era,No,1
17,Wang Hao,2731,2011 Jan,21,2011,17-25,0,Carlsen Era,No,6
19,Wang Hao,2733,2012 Jan,22,2012,17-25,2,Carlsen Era,No,6
14,Wang Hao,2752,2013 Jan,23,2013,17-25,19,Carlsen Era,No,6
20,Wang Hao,2734,2014 Jan,24,2014,17-25,-18,Carlsen Era,No,6
12,Wang Hao,2758,2020 Jan,30,2020,26-30,24,Carlsen Era,No,6
12,Wang Hao,2763,2021 Jan,31,2021,31-35,5,Carlsen Era,No,6
13,Wang Yue,2739,2009 Jan,21,2009,17-25,0,Transition,No,3
9,Wang Yue,2749,2010 Jan,22,2010,17-25,10,Carlsen Era,No,3
14,Wang Yue,2734,2011 Jan,23,2011,17-25,-15,Carlsen Era,No,3
20,Wojtaszek,2726,2011 Jan,23,2011,17-25,0,Carlsen Era,No,3
15,Wojtaszek,2744,2015 Jan,27,2015,26-30,18,Carlsen Era,No,3
18,Wojtaszek,2750,2017 Jan,29,2017,26-30,6,Carlsen Era,No,3
18,Yu Yangyi,2747,2016 Jan,21,2016,17-25,0,Carlsen Era,No,3
13,Yu Yangyi,2760,2018 Jan,23,2018,17-25,13,Carlsen Era,No,3
12,Yu Yangyi,2764,2019 Jan,24,2019,17-25,4,Carlsen Era,No,3
